SENADOR;PARTIDO;UF
Siqueira Campos;DEM;TO
Soraya Thronicke;UNIÃO;MS
Styvenson Valentim;PODEMOS;RN
Tasso Jereissati;PSDB;CE
Telmário Mota;PTB;RR
Telmário Mota;PROS;RR
Thieres Pinto;PTB;RR
Valdir Raupp;MDB;RO
Vanderlan Cardoso;PSD;GO
Vanessa Grazziotin;PCdoB;AM
Veneziano Vital do Rêgo;MDB;PB
Vicentinho Alves;PL;TO
Virginio de Carvalho;PSC;SE
Virginio de Carvalho;DEM;SE
Waldemir Moka;MDB;MS
Walter Pinheiro;S/Partido;BA
Wellington Dias;PT;PI
Wellington Fagundes;PL;MT
Weverton Rocha;PDT;MA
Wilder Morais;DEM;GO
Wilson Santiago;PTB;PB
Wirlande da Luz;MDB;RR
Zé Santana;MDB;PI
Zenaide Maia;PSD;RN
Zequinha Marinho;PL;PA
Zezé Perrella;MDB;MG
